Barrier ID ,Site Name ,Structure Type ,Assessment Step Completed,Next Step,Notes
3f71b802-4490-4830-a5e7-2e11d1be4d7b,Unnamed Brook at Unnamed Track 2 (Cow Field),Stream crossing - CBS,Informal assessment,Habitat confirmation,"Water going around culvert, no real fish passage culverts are bad"
5f603846-c45e-4b92-8df5-8a748b1ff0c3,Watsons Brook at Unnamed Track 2 (Office 2),Stream crossing - CBS,Informal assessment,Habitat confirmation,"Big drop on inflow, crab trap, Culvert Cracking. Beaver activity"
4a780d7c-8f95-414f-bdf5-8e554d75adf3,Unnamed Brook at East Big Intervale Road (Cemetary Pool),Stream crossing - CBS,Informal assessment,Habitat confirmation,"Clogged up top of culvert, velocity barrier, big drop upstream"
6b8661d2-9dd4-4943-988a-500823e03bed,Timmins Brook at West Big Intervale Road,Stream crossing - OBS,Informal assessment,Habitat confirmation,"bridge is in bad shape, barrier to fish passage, worst one of the day"
94cef3cc-bbb9-4d58-b352-63506a6e9ea7,MacEacherns Brook at Unnamed Track,Stream crossing - CBS,Informal assessment,Habitat confirmation,"Culvert looks good but clogged with debris, debris to be removed to restore passage"
9faa375e-b32c-4d73-9fcc-9e7991141986,Saddlers Brook at Driveway - 2,Stream crossing - CBS,Informal assessment,Habitat confirmation,"good shape, maybe slight velocity barrier"
6cd84598-ee60-48a7-8215-9482dd9d2ed5,MacSweens Brook at Highway 395 (Rail Tie Drop),Stream crossing - CBS,Informal assessment,In-depth passage assessment,"basically a water fall, 3 foot drop and large velocity barrier"
a6745e4a-5302-4503-a002-da173d781824,Glenmore Road at Unknown Brook,Stream crossing - OBS,Informal assessment,In-depth passage assessment,"Bridge in bad shape, but fish passage looks fine. Reassess as soon as possible to confirm passability."
2a487368-7759-4cd4-8185-aedeb78b0fa8,Cabot Trail at Mill Brook,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"3 culverts, may be an issue in low water, possible velocity barrier, debris jam removed during 2025 field season"
d86e2a64-08cb-43f8-a303-cc3564a00f32,Track at Alder Creek,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"Maybe slight velocity barrier but not much to worry about. ;This spot is easily accessible and regularly used by MSA as parking to access Forest Glen Brook. Need to assess what the structure actually is. Could be passable, but unsure."
4c52ad27-03fd-4f44-9f0d-6a72bb50718b,Collins Brook at Farquhar Road,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"1 culvert blocked by beavers, otherwise not bad"
52b6bf0c-9a77-4f7f-b6e7-d61cf352de5e,Saddlers Brook at Driveway,Stream crossing - OBS,Informal assessment,In-depth passage assessment,"ATV bridge, rough shape, collapsing and dammed up with debris. Structure at end of lifecylce, needs to be decommisioned or replaced."
47a5d383-a3c9-4dc4-90cc-536d002f1d82,Shaws Brook at West Lake Ainslie Road,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"grate on one end of the culverts, other is raised could be an issue in low water"
28a2e336-9709-4862-a079-8eefad6b943c,Collins Brook at Highway 19,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"Velocity barrier, could be hanging down stream in low water"
029700a4-0f06-493f-8415-4cf60c63a44e,Mill Brook at Unnamed Track,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"3 culverts, may be an issue in low water, possible velocity barrier. Update: Debris Jam removed during field season, in-depth barrier assessment needed to confirm passage restoration."
2789e6c4-a2a6-49a6-9ea3-942d09abf25d,MacDonalds Glen Brook at Highway 395,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"Some Blockages, likely drop on downstream side with low water, completely inpassible debris, drop on upstream side due to blockage. Update: Debris removed during 2025 field season, in-depth assessment needed to confrim restored passage."
25c7f767-8aa0-40a1-90eb-8c8440fc5ea3,Gallant River at Old Belle Cote Road,Stream crossing - CBS,Informal assessment,In-depth passage assessment,"2 Massive culverts starting to sink and collapse, large velocity barrier, could be hanging in low water, 2.5km walk in from where road washed out, ATV accessible. Massive upstream blockage. Update: Blockage removed field season of 2025, passage assessment needed to verify passage restoration"
