Barrier ID ,Site Name,Reason for Exclusion ,Notes
ea1dc1dc-0218-4aa4-939b-8561cc94996c,Ingraham Brook at Unnamed Track (Ingraham MacDonald),Passable,"Land owner may have piled rocks to allow for crossing, could be an issue in low water, flowing fine now"
f15e18b3-f05c-4d16-ba83-9ba762b2d9d1,Watsons Brook at Unnamed Track (Office 1),Passable,"looks in good shape, no issues"
42ed73ec-ce03-44e9-bb0d-a558cc7827a5,Unnamed Brook at Glen More Road (Glen More Road washout),Passable,"Bridge in bad shape, but fish passage looks fine. Revisit in ~5 years (2030)."
89fe6909-48aa-4e41-a247-4cf90f42930d,Jack Gillis Brook at Coady Road (AirBnb),Passable,"no issues besides beavers and snags, private property, owners let us through"
6d8f0e16-d771-48ca-b8f6-34b924a80263,MacKenzies Brook at Unnamed Track (INV259),Passable,"Water getting by fine, flows into beaver meadow, bridge in rough shape. Revisit in ~5 years (2030)."
b0eb71ca-8fbe-45bd-bb8a-2d5a0fb6bd99,Unnamed Brook at Mabou Rivers Trail-Blackstone-Inverness (Inverness Bike trail),Passable,structure deteriorating but no issues to fish passage. Revisit in ~5 years (2030).
02747f6d-df36-45a4-970a-9176a1291dbc,Black River at Highway 19,Passable,good flow no issues
b2b3dde0-3427-4f87-ab49-c1d16ce71922,Unnamed Brook at Private Property (Bring Your Running Shoes),Passable,"Private Property, culvert looks alright. Try to reassess in ~5 years (2030)."
064b5ffc-06ae-4071-8744-2b976f4c0647,Jack MacQuarries Brook at Strathlorne-Scotsville Rd (Mountain Road Enterance),Passable,overgrown but otherwise working well
795a1519-77cf-47bc-9d70-35cb3623f2ce,Big Brook at Unnamed Track (Blue Camper),No structure,"Could be an issue in low water, Beaver dam on main channel"
e30cd92e-f2ad-454b-b1e7-cc034a380bdb,Gallant River at Unnamed Track (Belle Cote 1),No structure,"No visible barrier, moving very fast, large deep pool, river pinching slightly could have been clogged with debris at some point."
619263ea-ca34-499a-b694-321b33a6b0ad,Francis Coadys Brook at Coady Road,Passable,"Flow looks fine, pooling below culverts, 2nd culvert buried"
5378f626-2984-49c3-bf3c-50661433836e,Jack Gillis Brook at Unnamed Track,Passable,"Culvert looks fine, lots of beaver activity"
322fedb3-3886-4154-b461-f7da73af7687,Cameron Brook at Unnamed Track,Passable,old bridge but no barrier to fish passage
b67fff44-6b98-4628-91fe-8f2a448c29a2,Ryan Brook at Unnamed Track,Passable,"Fish passage looks good, private property lots of postage seemingly unfriendly"
ca12279c-4008-448b-a00e-595419876c29,Salt Brook at Dryweather,Passable,"2 culverts both with crab traps, 1 lots of flow, the other low flow. Revisit in ~5 years (2030)."
eda11223-f033-422e-a96c-4f890353bdbe,Marsh Brook at Unnamed Track,Passable,"no barrier to fish passage, bridge to be installed in summer, last year bridge was no issue, can check back later in the year"
93b192b4-2fa6-4a0f-9a34-cd6faa76a758,Mackenzies Brook at Unnamed Track 2,No structure,"Beaver dam, could be an issue in low water, water getting by"
1023265a-5494-4f4d-ba26-5cfa7f98ba1d,Saddlers Brook at Unnamed Track,No structure,"no structure, old road no longer a bridge"
96ed4a82-8334-447c-8b94-92aea35fbd44,Mackays Brook at Unnamed Track,No structure,"Beaver dam, some flow"
5279d309-d266-4ec1-8efb-dec5d98e821e,Capitain Allens Brook at Driveway,No structure,"landowner tried to protect land, river now running in different directions through forest and not original path, beaver issues"
