ID,Watercourse name,Road name,Location/coordinates,Assessment step completed,Passability Status,Total habitat gain (km),Habitat gain - Weighted (km),Structure type,Barrier set identifier,# of barrier in set,Number of downstream barriers,Next steps,Comments (external)
029700a4-0f06-493f-8415-4cf60c63a44e,Mill Brook,Track,,Informal assessment,0,4.239375948,2.813203662,,650212.0000000000,,2,Barrier assessment (data deficient structures only),"3 culverts, may be an issue in low water, possible velocity barrier. Update: Debris Jam removed during field season, in-depth barrier assessment needed to confirm passage restoration."
2789e6c4-a2a6-49a6-9ea3-942d09abf25d,MacDonalds Glen Brook,Highway 395,,Informal assessment,0.75,0.631102213,0.157775553,,257002.0000000000,,1,Barrier assessment (data deficient structures only),"Some Blockages, likely drop on downstream side with low water, completely inpassible debris, drop on upstream side due to blockage. Update: Debris removed during 2025 field season, in-depth assessment needed to confrim restored passage."
28a2e336-9709-4862-a079-8eefad6b943c,Collins Brook,Highway 19,,Informal assessment,0,1.759512347,1.221929765,multiple culvert,539702.0000000000,,2,Barrier assessment (data deficient structures only),"Velocity barrier, could be hanging down stream in low water"
3f71b802-4490-4830-a5e7-2e11d1be4d7b,,Track,,Informal assessment,0,1.024312881,0.677492582,,408632.0000000000,,1,Habitat confirmation (data deficient structures only),"Water going around culvert, no real fish passage culverts are bad"
47a5d383-a3c9-4dc4-90cc-536d002f1d82,Shaws Brook,West Lake Ainslie Rd,,Informal assessment,0.75,0.935694676,0.175442752,multiple culvert,223592.0000000000,,1,Barrier assessment (data deficient structures only),"grate on one end of the culverts, other is raised could be an issue in low water"
4a780d7c-8f95-414f-bdf5-8e554d75adf3,,East Big Intervale Rd,,Informal assessment,0,1.432265712,0.887606732,,64252,,1,Habitat confirmation (data deficient structures only),"Clogged up top of culvert, velocity barrier, big drop upstream"
52b6bf0c-9a77-4f7f-b6e7-d61cf352de5e,Saddlers Brook,Driveway,,Informal assessment,1,,,,,,,Habitat confirmation (data deficient structures only),"ATV bridge, rough shape, collapsing and dammed up with debris. Structure at end of lifecylce, needs to be decommisioned or replaced."
5f603846-c45e-4b92-8df5-8a748b1ff0c3,Watsons Brook,Dryweather,,Informal assessment,0,3.409503254,2.627395315,,30842,,1,Habitat confirmation (data deficient structures only),"Big drop on inflow, crab trap, Culvert Cracking. Beaver activity"
6b8661d2-9dd4-4943-988a-500823e03bed,Timmins Brook,West Big Intervale Rd,,Informal assessment,0,0.832844043,0.614913852,,84812,,1,Habitat confirmation (data deficient structures only),"bridge is in bad shape, barrier to fish passage, worst one of the day"
6cd84598-ee60-48a7-8215-9482dd9d2ed5,MacSweens Brook,Highway 395,,Informal assessment,0,1.910647584,1.910647584,,598812.0000000000,,1,Barrier assessment (data deficient structures only),"basically a water fall, 3 foot drop and large velocity barrier"
94cef3cc-bbb9-4d58-b352-63506a6e9ea7,MacEacherns Brook,Track,,Informal assessment,0.5,1.014094199,0.380285325,,66823,,1,Habitat confirmation (data deficient structures only),"Culvert looks good but clogged with debris, debris to be removed to restore passage"
9faa375e-b32c-4d73-9fcc-9e7991141986,Saddlers Brook,Driveway,,Informal assessment,0.75,2.219259372,0.439969477,culvert,131072.0000000000,,1,Habitat confirmation (data deficient structures only),"good shape, maybe slight velocity barrier"
ca12279c-4008-448b-a00e-595419876c29,Salt Brook,Dryweather,,Informal assessment,1,,,culvert,,,,Habitat confirmation (data deficient structures only),"2 culverts both with crab traps, 1 lots of flow, the other low flow"
e30cd92e-f2ad-454b-b1e7-cc034a380bdb,Gallant River,Track,,Informal assessment,1,,,ford,,,,In-depth passage assessment (data deficient structures only),"2 Massive culverts starting to sink and collapse, large velocity barrier, could be hanging in low water, 2.5km walk in from where road washed out, ATV accessible. Massive upstream blockage. Update: Blockage removed field season of 2025, passage assessmen"
ea1dc1dc-0218-4aa4-939b-8561cc94996c,Ingram Brook,Track,,Informal assessment,0.75,12.75815934,2.629924654,ford,35982,,1,Non-actionable,"Land owner may have piled rocks to allow for crossing, could be an issue in low water, flowing fine now"
eda11223-f033-422e-a96c-4f890353bdbe,Marsh Brook,Track,,Informal assessment,1,,,,,,,Barrier assessment (data deficient structures only),"no barrier to fish passage, bridge to be installed in summer, last year bridge was no issue, can check back later in the year"
