ID,Watercourse,Road name,Location/coordinates,Reason for exclusion,Method of exclusion,Comments(external),Supporting links,,,,
02747f6d-df36-45a4-970a-9176a1291dbc,Black River,Highway 19,"628358.8562300000, 5109494.0252000000",Passable,Informal assessment,Black River at Highway 19 (Black River),,,,,
064b5ffc-06ae-4071-8744-2b976f4c0647,Jack MacQuarries Brook,Strathlorne-Scotsville Rd,"635021.3275300000, 5116325.5060000001",Passable,Informal assessment, Jack MacQuarries Brook at Strathlorne-Scotsville Rd (Mountain Road Enterance),,,,,
1023265a-5494-4f4d-ba26-5cfa7f98ba1d,Saddlers Brook,Track,"631674.9708600000, 5110263.7593000000",No structure,Informal assessment,Saddlers Brook at Unnamed Track (Saddlers Brook 2),,,,,
322fedb3-3886-4154-b461-f7da73af7687,Cameron Brook,Highway 19,"643161.8205600000, 5127667.9000000004",Passable,Informal assessment,Cameron Brook at Unnamed Track (Cameron Brook),,,,,
42ed73ec-ce03-44e9-bb0d-a558cc7827a5,Unnamed,,"665771.38726, 5163196.1136999996",Passable,Informal assessment,Unnamed Brook at Glen More Road (Glen More Road washout),,,,,
4c52ad27-03fd-4f44-9f0d-6a72bb50718b,Collins Brook,Farquhar Rd,"640361.6136700000, 5128147.7434999999",Passable,Informal assessment,Collins Brook at Farquhar Road (Collins Brook 2),,,,,
5279d309-d266-4ec1-8efb-dec5d98e821e,Capitain Allens Brook,Driveway,"642960.0737500000, 5126436.9946999997",No structure,Informal assessment,Capitain Allens Brook at Driveway (Reroute),,,,,
5378f626-2984-49c3-bf3c-50661433836e,Jack Gillis Brook,Track,"642136.6877300000, 5128029.9189999998",Passable,Informal assessment,Jack Gillis Brook at Unnamed Track (Jack Gillis Brook),,,,,
619263ea-ca34-499a-b694-321b33a6b0ad,Francis Coadys Brook,Coady Rd,"644166.16257, 5131737.4000000004",Passable,Informal assessment,Francis Coadys Brook at Coady Road (Francis Coadys Brook),,,,,
6d8f0e16-d771-48ca-b8f6-34b924a80263,MacKenzies Brook,Track,"660051.9875400000, 5146424.4293000000",Passable,Informal assessment,MacKenzies Brook at Unnamed Track (INV259),,,,,
795a1519-77cf-47bc-9d70-35cb3623f2ce,Big Brook,Track,"651624.1168700000, 5128245.9424000001",No structure,Informal assessment,Big Brook at Unnamed Track (Blue Camper),,,,,
89fe6909-48aa-4e41-a247-4cf90f42930d,Jack Gillis Brook,Coady Rd,"642517.6962700000, 5127535.7000000002",Passable,Informal assessment,Jack Gillis Brook at Coady Road (AirBnb),,,,,
93b192b4-2fa6-4a0f-9a34-cd6faa76a758,Mackenzies Brook,East Big Intervale Rd,"659984.0784800000, 5146317.5251000002",No structure,Informal assessment,Mackenzies Brook at Unnamed Track 2 (Mackenzies Brook),,,,,
96ed4a82-8334-447c-8b94-92aea35fbd44,Mackays Brook,Track,"646458.8604000000, 5101016.9334000004",No structure,Informal assessment,Mackays Brook at Unnamed Track (Mackays Brook),,,,,
99f2340a-7919-42ea-ad53-6476d016479b,Alder Brook,,", ",Passable,Informal assessment,Alder Brook at Unknown Track (Salmon Camp),,,,,
b0eb71ca-8fbe-45bd-bb8a-2d5a0fb6bd99,Unnamed,Mabou Rivers Trail-Blackstone-Inverness,"630121.4258700000, 5110210.7451999998",Passable,Informal assessment,Unnamed Brook at Mabou Rivers Trail-Blackstone-Inverness (Inverness Bike trail),,,,,
b2b3dde0-3427-4f87-ab49-c1d16ce71922,Unnamed,Track,"647740.5000000000, 5135041.3273000000",Passable,Informal assessment,Unnamed Brook at Unnamed Track (Bring Your Running Shoes),,,,,
b67fff44-6b98-4628-91fe-8f2a448c29a2,Ryan Brook,,"656668.2769300002, 5130941.7801999999",Passable,Informal assessment,Ryan Brook at Unnamed Track (Ryan Brook),,,,,
f15e18b3-f05c-4d16-ba83-9ba762b2d9d1,Watsons Brook,Driveway,"654361.0561900000, 5133445.0817000000",Passable,Informal assessment,Watsons Brook at Unnamed Track (Office 1),,,,,
